id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
43,Gale,Geany,F,6/22/2021,ggeany16@webmd.com,France,15,15,GMC,savana 3500,32478.57
44,Janna,MacPherson,F,6/13/2021,jmacpherson17@hud.gov,Portugal,8,8,subaru,Impreza WRX,17531.96
45,Glenine,Le Fleming,F,2/26/2021,glefleming18@networkadvertising.org,China,9,9,Mazda,Familia,21696.33
46,Pace,Ledgeway,M,11/4/2021,pledgeway19@lulu.com,Uruguay,27,27,Pontiac,Grand Prix,12935.32
47,Emyle,Andrieux,F,11/8/2021,eandrieux1a@stumbleupon.com,China,36,36,Volkswagen,New Beetle,87327.17
48,Reube,McRobbie,M,10/21/2021,rmcrobbie1b@dropbox.com,Kosovo,44,44,Volvo,240,35413.86
49,Tan,Shoesmith,M,8/25/2021,,Albania,45,45,Audi,4000s,55937.63
50,Kessiah,MacFayden,F,3/10/2021,kmacfayden1d@squarespace.com,Ukraine,46,46,Ford,Mustang,94039.71
51,Danny,Gainsbury,F,5/15/2021,dgainsbury1e@cargocollective.com,China,28,28,Mitsubishi,Mirage,13263.86
52,Spike,Blabie,M,1/22/2021,sblabie1f@dion.ne.jp,Greece,37,37,subaru,Legacy,19919.8
53,Mirelle,Screeton,F,10/20/2021,,Mali,58,58,Volkswagen,rio,39766.45
54,Ermengarde,Sillito,F,8/1/2021,esillito1h@japanpost.jp,Niger,59,59,Lexus,RX,40410.33
55,Clemente,Broszkiewicz,M,5/17/2021,,Russia,60,60,Mercedes-Benz,E-Clas,99322.04
56,Gray,Plaxton,M,5/11/2021,gplaxton1j@blogs.com,Argentina,61,61,GMC,Envoy XL,14225.76
59,Coral,Kinmond,F,4/5/2021,ckinmond1m@illinois.edu,Portugal,70,70,Mercedes-Benz,sprinter 3500,21927.92
60,Margalo,Drage,F,9/1/2021,mdrage1n@phpbb.com,Belarus,53,53,Pontiac,GTO,68433.38
66,Andrei,Winkless,F,7/11/2021,awinkless1t@yellowbook.com,Thailand,66,66,Buick,Lesabre,68648.11
67,Addie,Arlt,M,4/26/2021,,Nigeria,67,67,Jaguar,s-Type,52823.81
70,Merrile,Caddie,F,7/14/2021,,France,54,54,BMW,5 series,46785.41
71,Ottilie,Lockitt,F,2/8/2021,olockitt1y@sbwire.com,Canada,57,57,Buick,Century,82240.33
78,Randy,Bawme,F,9/24/2021,rbawme25@pen.io,China,68,68,Kia,sportage,28033.48
79,Maressa,Gaze,F,9/8/2021,mgaze26@freewebs.com,China,69,69,Cadillac,DeVille,13721.34
80,Roxi,Dobsons,F,2/8/2021,rdobsons27@parallels.com,China,55,55,Dodge,Daytona,84730.77
81,Gilda,Beininck,F,5/21/2021,gbeininck28@miibeian.gov.cn,Poland,62,62,Mercedes-Benz,sL-Clas,50406.25
82,Tremayne,Luten,M,9/28/2021,,Cambodia,63,63,Lotus,Esprit,28967.48
83,Thedric,Gini,M,4/9/2021,,Indonesia,64,64,GMC,Jimmy,28476.97
90,Gannon,Polotti,M,1/31/2021,,Thailand,56,56,Volvo,s90,86242.46
94,Hasheem,Trusdale,M,11/12/2021,,Indonesia,65,65,Volkswagen,Pasat,80212.52
